STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2015,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2016,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2017,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2018,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2019,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2020,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2021,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,1995,,441994,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,1996,,403448,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,1997,,349413,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,1998,,413958,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,1999,,384072,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2000,,420015,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2001,,461001,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2002,,478455,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2003,,310241,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2004,,297681,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2005,,287548,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2006,,301637,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2007,,298518,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2008,,268267,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2009,,284331,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2010,,286980,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2011,,286576,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2012,,280775,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2013,,272272,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2014,,263297,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
