STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,LVA,Latvia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,663,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,LVA,Latvia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,663,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,17440,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,5035,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,15680,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,15663,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,15406,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,15352,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,15315,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,TUR,Türkiye,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,15302,,A,Normal value,,,0,Units,0,Zero,,
