STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,POLLUTANT,,MEASURE,,UNIT_MEASURE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,PRICE_BASE,,BASE_PER,,DECIMALS,,CONVERSION_TYPE,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1990,,14.03953,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1991,,13.90633,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1992,,14.01506,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1993,,14.36119,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1994,,14.69129,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1995,,15.1498,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1996,,15.35606,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1997,,15.23745,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1998,,14.82493,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,1999,,14.81633,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2000,,14.7919,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2001,,14.55015,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2002,,14.74263,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2003,,15.23105,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2004,,15.33716,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2005,,15.34494,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2006,,15.45693,,A,,0,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,ENER_TRANS,,PT_EM_GHG,,2007,,15.59397,,A,,0,,,,,,2,,,
